latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-4.36924,-37.89744,316.02,0.38,0.43,2026-05-18,338,N20,VIIRS,n,2.0NRT,289.88,1.77,N
-3.59496,-38.85813,333.97,0.45,0.47,2026-05-18,338,N20,VIIRS,n,2.0NRT,289.87,5.98,N
-3.59429,-38.8622,328.44,0.45,0.47,2026-05-18,338,N20,VIIRS,n,2.0NRT,289.02,5.69,N
-14.48688,-46.51822,338.81,0.48,0.64,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.84,3.66,N
-14.48594,-46.52267,310.14,0.48,0.64,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.06,3.66,N
-14.05726,-44.47939,299.95,0.36,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,289.47,0.53,N
-14.05661,-44.48267,299.23,0.36,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,288.25,0.5,N
-12.65119,-38.32551,309.2,0.47,0.4,2026-05-18,340,N20,VIIRS,n,2.0NRT,293.11,1.55,N
-12.40065,-38.34375,305.92,0.48,0.4,2026-05-18,340,N20,VIIRS,n,2.0NRT,295.15,1.25,N
-12.39979,-38.3462,304.63,0.48,0.4,2026-05-18,340,N20,VIIRS,n,2.0NRT,294.32,1.03,N
-12.397,-38.34308,315.02,0.48,0.4,2026-05-18,340,N20,VIIRS,n,2.0NRT,294.74,1.25,N
-12.06457,-45.28062,307.05,0.44,0.62,2026-05-18,340,N20,VIIRS,n,2.0NRT,289.06,1.6,N
-12.05809,-45.28337,318.29,0.44,0.62,2026-05-18,340,N20,VIIRS,n,2.0NRT,289.7,2.91,N
-11.87979,-43.80402,309.92,0.35,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,285.62,1.53,N
-11.87916,-43.80728,313.08,0.35,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,285.55,1.72,N
-11.84412,-43.96025,312.76,0.36,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.41,4.13,N
-11.84347,-43.96358,352.19,0.36,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,291.68,4.24,N
-11.84282,-43.96692,323.77,0.36,0.58,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.77,4.24,N
-10.69511,-37.04889,305.92,0.43,0.38,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.02,1.03,N
-10.40977,-44.93818,315.75,0.45,0.63,2026-05-18,340,N20,VIIRS,n,2.0NRT,287.27,1.64,N
-10.40325,-44.94107,302.27,0.45,0.63,2026-05-18,340,N20,VIIRS,n,2.0NRT,289.31,1.64,N
-10.03731,-38.19865,304.62,0.5,0.41,2026-05-18,340,N20,VIIRS,n,2.0NRT,291.76,0.7,N
-9.22011,-43.12933,305.41,0.35,0.57,2026-05-18,340,N20,VIIRS,n,2.0NRT,290.68,1.32,N
-22.08613,-39.8305,329.57,0.43,0.38,2026-05-18,342,N20,VIIRS,n,2.0NRT,292.97,3.48,N
-21.27081,-39.99949,330.1,0.45,0.39,2026-05-18,342,N20,VIIRS,n,2.0NRT,294.23,2.78,N
-20.77878,-41.11705,303.35,0.51,0.41,2026-05-18,342,N20,VIIRS,n,2.0NRT,291.62,1.07,N
-20.55232,-43.76845,309.28,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,286.36,4.7,N
-20.55139,-43.7732,336.78,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,286.03,5.47,N
-20.55029,-43.77023,353.26,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,288.63,16.02,N
-20.54792,-43.76734,314.84,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,286.65,5.19,N
-20.547,-43.77205,337.42,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,286.56,4.53,N
-20.54626,-43.75234,298.34,0.48,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,287.96,1.76,N
-20.54184,-43.75138,302.03,0.48,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,287.46,0.79,N
-20.54093,-43.75601,299.64,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,288.33,0.79,N
-20.5391,-43.76533,299.82,0.49,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,288.1,1.21,N
-20.41641,-43.55534,296.67,0.47,0.48,2026-05-18,342,N20,VIIRS,n,2.0NRT,280.77,0.83,N
-20.35184,-40.87481,301.4,0.5,0.41,2026-05-18,342,N20,VIIRS,n,2.0NRT,283.84,0.76,N
-20.35083,-40.87688,298.51,0.5,0.41,2026-05-18,342,N20,VIIRS,n,2.0NRT,283.65,0.68,N
-20.348,-40.36099,308.06,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,287.38,1.38,N
-20.25103,-40.23179,306.1,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,278.98,1.43,N
-20.25022,-40.23625,297.05,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,277.68,1.37,N
-20.24941,-40.24072,306.78,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,274.52,1.37,N
-20.24861,-40.24519,321.76,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,271.93,2.94,N
-20.24579,-40.23997,308.28,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,274.47,1.37,N
-20.24537,-40.24158,311.72,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,274.72,3.61,N
-20.24216,-40.23924,311.26,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,275.63,3.55,N
-20.24174,-40.24084,335.33,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,276.68,3.61,N
-20.24135,-40.24372,330.32,0.47,0.4,2026-05-18,342,N20,VIIRS,n,2.0NRT,275.84,2.7,N
